Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes

Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
scaffolds_gt1000bp_ERR2597538.bin.1	53.26	1.58	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.10	78.04	2.06	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.11	73.68	4.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.12	52.95	2.81	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.13	7.71	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.14	68.18	1.56	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.15	8.7	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.16	20.07	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.17	32.46	4.08	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.18	79.13	1.99	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.19	30.57	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.2	37.09	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.20	49.79	6.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.21	90.98	4.86	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.22	15.54	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.23	51.27	0.78	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.24	67.35	1.52	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.25	18.06	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.26	6.36	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.27	6.48	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.28	59.13	0.82	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.29	11.77	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.3	59.69	1.45	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.30	58.16	5.24	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.31	14.99	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.32	62.95	2.19	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.33	8.7	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.34	13.23	0.33	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.35	80.22	5.21	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.36	88.33	3.44	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.37	15.18	0.19	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.38	88.94	7.51	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.39	43.71	0.35	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.4	6.69	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.40	14.47	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.41	23.3	0.08	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.42	34.86	1.58	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.43	31.31	5.8	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.44	77.32	6.0	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.45	47.15	3.7	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.46	10.27	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.47	9.06	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.48	94.22	2.1	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.49	43.54	0.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.5	82.05	3.17	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.50	44.12	3.29	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.51	41.79	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.52	8.58	0.81	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.53	57.18	1.91	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.54	10.12	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.55	58.64	6.23	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.56	78.38	3.27	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.57	54.78	2.46	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.58	27.88	2.7	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.59	47.03	1.49	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.6	9.56	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.60	23.34	1.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.61	100.0	89.69	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.7	36.96	1.54	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.8	6.59	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597538.bin.9	89.7	2.63	Gradient Boost (General Model)	11	None